fecha_de_publicacion,titulo
,Assassin's Creed: Ubisoft se enfocará en Origins en lugar de otra entrega
,Xbox: rumor asegura que Microsoft también compraría SEGA
,Xbox: rumor asegura que Microsoft también compraría SEGA
17 de Septiembre de 2020,Disgaea 6: Defiance of Destiny - Announcement Trailer
17 de Septiembre de 2020,Empire of Sin Gameplay Demo Trailer
,Dragon Ball: AF plantea que un hijo de Freezer sería aún más peligroso
,Dragon Ball: estos son todos los tipos de Ki que existen según Toriyama
,Dragon Ball: estos son los episodios perdidos que casi nadie conoce
20 de Septiembre de 2020,Cyberpunk 2077 - Night City Wire: Episode 3
,Se retrasa Far Cry 5 y The Crew 2
,"Xbox compró Bethesda, ZeniMax Media, y todas sus propiedades"
,"Xbox compró Bethesda, ZeniMax Media, y todas sus propiedades"
,Dragon Ball: Kame House existe en la vida real y puedes visitarla
,Dragon Ball AF: cinco cosas que Super mantuvo
,Dragon Ball: ¿por qué los villanos pueden conservar su cuerpo en el infierno?
,Dragon Ball Super: ¿cuál era el nombre original que Vegeta pensó para su hija?
,Dragon Ball Z: existió otro Trunks además del hijo de Vegeta
,Dragon Ball Super: un fanático hizo la saga de Moro en anime y podría ser mejor que la versión de Toei
21 de Septiembre de 2020,Immortals Fenyx Rising: A Tour of the Golden Isle - IGN First
,Far Cry: habrá un nuevo juego
,Far Cry: habrá un nuevo juego
,Far Cry 6: filtración confirma a Giancarlo Esposito como villano y revela fecha de lanzamiento
,Far Cry 6: filtración confirma a Giancarlo Esposito como villano y revela fecha de lanzamiento
,Far Cry 6: ¿en qué revolución está inspirado el nuevo juego de Ubisoft?
,Far Cry 6: ¿en qué revolución está inspirado el nuevo juego de Ubisoft?
,Dragon Ball: AF plantea que un hijo de Freezer sería aún más peligroso
,Dragon Ball Super capítulo 64: ¿qué significa el mal presentimiento que tiene Bills?
,Dragon Ball Super capítulo 64: ¿qué significa el mal presentimiento que tiene Bills?
,Dragon Ball: alguien más es capaz de utilizar el Ultra Instinto
,Dragon Ball: así cambiaría la serie si Gohan hubiera sido el protagonista
,Dragon Ball Super: ¿cuál era el nombre original que Vegeta pensó para su hija?
,Dragon Ball: estos son los episodios perdidos que casi nadie conoce
,Dragon Ball Super: estos son los primeros spoilers del capítulo 63 del manga
28 de Agosto de 2018,"Los primeros 17 minutos del nuevo DLC de Far Cry 5, Dead Living Zombies"
,Assassin's Creed: Valhalla - esta sería su fecha de lanzamiento
,Far Cry 6: Giancarlo Esposito de Breaking Bad protagonizaría el juego
,Anunciada la fecha de lanzamiento y los primeros detalles de Far Cry 5
28 de Agosto de 2018,"Los primeros 17 minutos del nuevo DLC de Far Cry 5, Dead Living Zombies"
